BioYear,Trap,ID,Year,Rep,TreatNum,SizeNum,TopoNum,HWPres,HWCount,ProxNum,AmpYr,AmpAllYr,SameYr,OneYrlag,TwoYrlag,ThrYrlag,Last2yrs,Last3yrs,Last4yrs
10,50,R08495,1994,3,1,3,2,0,0,2,195,339,195,27,6,36,222,228,264
10,51,R08497,1994,3,1,3,1,0,0,2,76,101,76,3,0,1,79,79,80
10,53,R08496,1994,3,1,3,2,0,0,1,87,586,87,7,39,290,94,133,423
13,54,R09692,1997,3,1,3,2,0,0,1,30,476,30,2,28,68,32,60,128
8,55,R07818,1992,3,1,3,1,0,0,1,4,248,4,4,12,1,8,20,21
10,58,R08424,1994,3,1,2,1,0,0,1,11,25,11,0,0,12,11,11,23
9,59,R08099,1993,3,1,2,1,0,0,1,2,9,2,0,0,0,2,2,2
7,60,R07464,1991,3,1,2,2,0,0,1,5,28,5,2,0,0,7,7,7
7,63,R07455,1991,3,1,2,2,0,0,2,1,64,1,4,1,0,5,6,6
12,64,R09463,1996,3,1,2,1,0,0,2,0,14,0,0,12,2,0,12,14
10,65,R08639,1994,3,1,1,1,0,0,2,72,89,72,0,0,2,72,72,74
12,66,R09495,1996,3,1,1,1,0,0,1,1,55,1,2,27,3,3,30,33
7,68,R07353,1991,3,1,1,1,0,0,2,2,13,2,3,0,0,5,5,5
6,69,R07480,1990,3,1,1,2,0,0,1,8,76,8,1,2,13,9,11,24
7,70,R07370,1991,3,1,1,2,0,0,1,37,163,37,18,1,2,55,56,58
13,71,R09701,1997,3,1,1,2,0,0,2,55,318,55,1,9,69,56,65,134
10,72,R08522,1994,3,1,1,2,0,0,2,67,257,67,19,8,8,86,94,102
9,73,R08070,1993,6,2,4,1,1,4,0,43,454,43,15,84,155,58,142,297
12,75,R09126,1995,6,2,4,1,0,0,0,2,498,2,4,127,50,6,133,183
7,76,R07358,1991,6,2,4,2,0,0,0,74,354,74,65,3,5,139,142,147
13,77,R09662,1997,6,2,4,2,1,13,0,12,207,12,2,1,75,14,15,90
8,78,R07621,1991,6,2,4,2,1,4,0,15,134,15,24,19,3,39,58,61
5,79,R07184,1989,6,2,4,2,0,0,0,26,376,26,22,45,3,48,93,96
12,81,R09448,1996,6,2,4,1,0,0,0,0,98,0,0,52,3,0,52,55
13,82,R09651,1997,6,2,4,2,0,0,0,7,258,7,0,2,57,7,9,66
7,83,R07373,1991,6,2,4,2,0,0,0,49,226,49,25,2,14,74,76,90
10,85,R08614,1994,6,2,4,1,1,1,0,98,157,98,9,1,28,107,108,136
9,86,R08037,1993,6,2,4,2,1,7,0,65,646,65,47,160,31,112,272,303
6,87,R07122,1990,6,2,4,2,0,0,0,77,613,77,1,5,3,78,83,86
11,88,R08997,1995,6,2,4,1,0,0,0,4,244,4,83,13,10,87,100,110
11,90,R08988,1995,6,2,4,2,1,4,0,11,261,11,67,69,22,78,147,169
12,91,R09109,1995,6,2,4,2,1,11,0,10,214,10,6,104,9,16,120,129
10,92,R08160,1993,6,2,4,2,1,1,0,57,420,57,24,16,205,81,97,302
6,94,R07121,1990,6,2,4,1,1,11,0,44,403,44,3,7,10,47,54,64
8,96,R07736,1992,6,2,4,1,1,3,0,37,309,37,40,41,6,77,118,124
8,97,R07578,1992,5,2,4,2,0,0,0,75,518,75,139,66,1,214,280,281
13,98,R09671,1997,5,2,4,2,1,2,0,26,238,26,5,0,82,31,31,113
6,99,R07481,1990,5,2,4,2,0,0,0,21,496,21,5,8,5,26,34,39
7,100,R07435,1991,5,2,4,2,0,0,0,57,621,57,90,2,15,147,149,164
8,102,R07536,1992,5,2,4,1,1,4,0,2,286,2,16,22,0,18,40,40
11,105,R08916,1995,5,2,4,2,1,1,0,9,1125,9,706,53,17,715,768,785
12,107,R09174,1996,5,2,4,2,1,2,0,0,615,0,2,239,85,2,241,326
8,108,R07757,1992,5,2,4,2,1,3,0,24,578,24,158,170,29,182,352,381
8,110,R07777,1992,5,2,4,1,1,6,0,12,362,12,115,51,19,127,178,197
11,111,R08998,1995,5,2,4,1,1,3,0,10,403,10,168,11,10,178,189,199
10,112,R08437,1994,5,2,4,1,1,9,0,201,579,201,57,16,139,258,274,413
5,113,R07168,1989,5,2,4,1,1,1,0,9,444,9,2,7,0,11,18,18
9,114,R08079,1993,5,2,4,1,1,1,0,8,508,8,2,44,14,10,54,68
5,115,R07159,1989,5,2,4,1,0,0,0,0,364,0,3,0,0,3,3,3
9,116,R07895,1992,5,2,4,1,0,0,0,5,423,5,0,109,44,5,114,158
12,117,R09268,1996,5,2,4,2,1,1,0,1,259,1,4,166,9,5,171,180
13,118,R09670,1997,5,2,4,2,1,4,0,6,663,6,2,10,426,8,18,444
12,119,R09075,1995,5,2,4,2,0,0,0,0,303,0,2,148,7,2,150,157
12,120,R09499,1996,5,2,4,2,1,5,0,2,317,2,1,87,9,3,90,99
6,122,R07126,1990,4,1,3,2,0,0,2,35,275,35,7,2,58,42,44,102
9,125,R08090,1993,4,1,3,1,0,0,1,3,416,3,0,17,12,3,20,32
7,126,R07236,1991,4,1,3,2,0,0,1,166,444,166,36,7,4,202,209,213
10,127,R08535,1994,4,1,3,2,0,0,1,495,672,495,5,21,35,500,521,556
10,128,R08519,1994,4,1,3,2,1,4,2,99,230,99,53,9,8,152,161,169
4,129,R07072,1988,4,1,2,2,1,3,2,14,108,14,19,3,3,33,36,39
12,130,R09384,1996,4,1,2,2,1,13,2,4,223,4,35,26,15,39,65,80
6,132,R07491,1990,4,1,2,1,0,0,1,39,196,39,0,2,1,39,41,42
13,133,R09660,1997,4,1,2,2,1,1,1,7,224,7,5,2,22,12,14,36
11,134,R08995,1995,4,1,2,2,1,3,1,5,130,5,27,9,6,32,41,47
10,135,R08539,1994,4,1,2,1,1,1,1,37,70,37,5,2,1,42,44,45
6,135,R07115,1990,4,1,2,1,0,0,1,17,70,17,2,0,4,19,19,23
10,136,R08530,1994,4,1,2,1,1,3,2,21,33,21,1,2,2,22,24,26
6,136,R07488,1990,4,1,2,1,0,0,2,7,33,7,0,0,1,7,7,8
9,138,R08081,1993,4,1,1,1,1,1,1,4,69,4,0,1,6,4,5,11
13,139,R09683,1997,4,1,1,2,1,14,2,16,113,16,5,17,40,21,38,78
7,140,R07468,1991,4,1,1,1,0,0,2,6,97,6,18,4,1,24,28,29
7,141,R07382,1991,4,1,1,1,0,0,1,4,70,4,2,2,0,6,8,8
7,142,R07385,1991,4,1,1,2,0,0,1,3,82,3,10,3,0,13,16,16
12,143,R09485,1996,4,1,1,2,1,14,1,6,172,6,1,36,18,7,43,61
12,144,R09524,1996,4,1,1,2,0,0,2,5,122,5,11,27,21,16,43,64
7,146,R07228,1991,1,3,NA,2,0,0,NA,0,14,0,0,0,0,0,0,0
9,149,R08040,1993,1,3,NA,1,0,0,NA,0,28,0,0,0,0,0,0,0
7,150,R07253,1991,1,3,NA,2,0,0,NA,0,73,0,2,0,24,2,2,26
10,151,R08534,1994,1,3,NA,1,0,0,NA,7,15,7,1,0,0,8,8,8
10,152,R08527,1994,1,3,NA,2,0,0,NA,6,44,6,1,0,2,7,7,9
7,155,R07242,1991,1,3,NA,1,0,0,NA,2,5,2,1,0,0,3,3,3
13,156,R09659,1997,2,3,NA,2,0,0,NA,1,6,1,0,0,2,1,1,3
12,157,R09270,1996,2,3,NA,1,0,0,NA,1,2,1,0,0,0,1,1,1
7,158,R07351,1991,2,3,NA,2,0,0,NA,2,42,2,2,0,1,4,4,5
12,159,R09453,1996,2,3,NA,1,0,0,NA,0,24,0,1,5,0,1,6,6
7,160,R07360,1991,2,3,NA,2,0,0,NA,1,9,1,1,0,0,2,2,2
8,161,R07790,1992,2,3,NA,1,0,0,NA,0,23,0,1,1,0,1,2,2
7,162,R07352,1991,2,3,NA,2,0,0,NA,1,115,1,1,0,1,2,2,3
9,163,R08009,1993,2,3,NA,1,0,0,NA,1,86,1,0,3,0,1,4,4
7,164,R07229,1991,2,3,NA,2,0,0,NA,4,77,4,15,0,0,19,19,19
6,165,R07112,1990,2,3,NA,1,0,0,NA,0,34,0,0,0,0,0,0,0
7,167,R07308,1991,3,3,NA,1,0,0,NA,0,12,0,0,0,0,0,0,0
9,169,R08091,1993,3,3,NA,1,0,0,NA,1,37,1,0,0,0,1,1,1
7,170,R07378,1991,3,3,NA,2,0,0,NA,0,53,0,1,0,0,1,1,1
7,171,R07309,1991,3,3,NA,1,0,0,NA,1,26,1,1,0,0,2,2,2
7,171,R07439,1991,3,3,NA,1,0,0,NA,1,26,1,1,0,0,2,2,2
6,172,R07479,1990,3,3,NA,2,0,0,NA,3,70,3,0,0,0,3,3,3
13,177,R09639,1997,3,3,NA,1,0,0,NA,4,15,4,1,1,7,5,6,13
7,178,R07367,1991,3,3,NA,2,0,0,NA,6,98,6,1,0,2,7,7,9
7,179,R07424,1991,4,3,NA,1,0,0,NA,0,25,0,9,0,0,9,9,9
7,180,R07428,1991,4,3,NA,2,0,0,NA,5,38,5,6,0,1,11,11,12
12,181,R09486,1996,4,3,NA,1,0,0,NA,2,81,2,1,36,1,3,39,40
6,182,R07496,1990,4,3,NA,2,0,0,NA,10,55,10,0,3,0,10,13,13
7,183,R07466,1991,4,3,NA,1,0,0,NA,8,71,8,7,0,0,15,15,15
9,184,R07982,1993,4,3,NA,2,0,0,NA,12,248,12,12,19,24,24,43,67
6,185,R07487,1990,4,3,NA,2,0,0,NA,12,54,12,3,0,0,15,15,15
8,188,R07799,1992,4,3,NA,2,0,0,NA,0,26,0,1,0,0,1,1,1
